name,link,address,lat,lng,rent_raw,rent_from,rent_to,layout_raw,layouts,built_year,management_fee_raw,management_fees,access,comment
コーシャハイム小日向,/jkktokyo/detailMap?account=jkktokyo&bid=580150&pgret=2,文京区小日向1-2-3,35.7118463,139.7396991,"120,200～183,900円（月額）",120200,183900,2K～3DK,"['2K', '3DK']",2005,"6,400円",[6400],東京メトロ有楽町線「江戸川橋」駅下車徒歩10分,
コーシャハイム松が谷,/jkktokyo/detailMap?account=jkktokyo&bid=3180240&pgret=2,八王子市松が谷11-3,35.6277312,139.4154672,"78,500円（月額）",78500,78500,3DK,['3DK'],1985,"2,400円",[2400],小田急多摩線「多摩センター」駅からバス約7分「松が谷」下車徒歩2分,
コーシャハイム松が谷第三,/jkktokyo/detailMap?account=jkktokyo&bid=3180260&pgret=2,八王子市松が谷25-1,35.6307379,139.4193206,"73,900～82,600円（月額）",73900,82600,2LDK～3LDK,"['2LDK', '3LDK']",1988,"4,000円",[4000],小田急多摩線「多摩センター」駅からバス約4分「山根入」下車徒歩6分,
コーシャハイム松が谷第二,/jkktokyo/detailMap?account=jkktokyo&bid=3180250&pgret=2,八王子市松が谷15-1,35.6290231,139.4146958,"66,200～77,400円（月額）",66200,77400,2DK～3LDK,"['2DK', '3LDK']",1988,"4,000円",[4000],小田急多摩線「多摩センター」駅からバス約7分「松が谷」下車徒歩4分,
コーシャハイム上鷺宮,/jkktokyo/detailMap?account=jkktokyo&bid=1480330&pgret=2,"中野区上鷺宮3-9-1,2",35.7345642,139.6309835,"93,200～167,700円（月額）",93200,167700,1DK～3LDK,"['1DK', '3LDK']",2008,"5,200円",[5200],西武池袋線「富士見台」駅下車徒歩3分,
コーシャハイム上北台,/jkktokyo/detailMap?account=jkktokyo&bid=5080140&pgret=2,東大和市上北台2-865-10,35.7428699,139.4143763,"78,300～84,300円（月額）",78300,84300,2LDK・3LDK,"['2LDK', '3LDK']",1993,"3,600円",[3600],西武拝島線「玉川上水」駅からバス約7分「店舗前」下車徒歩7分,
コーシャハイム新中野テラス,/jkktokyo/detailMap?account=jkktokyo&bid=1580260&pgret=2,杉並区和田1-53-11,35.6939816,139.6644214,"119,300～211,100円（月額）",119300,211100,1R～2LDK+Ｓ,"['1R', '2LDK+S']",2020,"5,500円",[5500],東京メトロ 丸ノ内線 中野富士見町駅下車徒歩7分,
コーシャハイム神宮前五丁目,/jkktokyo/detailMap?account=jkktokyo&bid=1380100&pgret=2,渋谷区神宮前5-19-1,35.6651836,139.705945,"151,100～208,200円（月額）",151100,208200,１Ｒ～3DK,"['1R', '3DK']",1994,"4,500円",[4500],東京メトロ千代田線「明治神宮前」駅下車徒歩8分,
コーシャハイム神田,/jkktokyo/detailMap?account=jkktokyo&bid=180060&pgret=2,千代田区岩本町2-15-14,35.6943528,139.777934,"161,800～211,600円（月額）",161800,211600,1LDK～3DK,"['1LDK', '3DK']",2003,"5,200円",[5200],都営地下鉄新宿線「岩本町」駅下車徒歩5分,
コーシャハイム杉並和田,/jkktokyo/detailMap?account=jkktokyo&bid=1580240&pgret=2,杉並区和田2-5-1,35.686691,139.6596862,"84,500～160,000円（月額）",84500,160000,1DK～3DK,"['1DK', '3DK']",2007,"3,000円",[3000],東京メトロ丸ノ内線「方南町」駅下車徒歩7分,
コーシャハイム清新,/jkktokyo/detailMap?account=jkktokyo&bid=2380120&pgret=2,"江戸川区清新町1-2-1,2",35.6587153,139.8574178,"105,300～110,600円（月額）",105300,110600,2LDK・3DK,"['2LDK', '3DK']",1983,"4,300円",[4300],東京メトロ東西線「西葛西」駅下車徒歩13分,
コーシャハイム清瀬台田,/jkktokyo/detailMap?account=jkktokyo&bid=5180070&pgret=2,清瀬市下宿1-1-18,35.796773,139.5327987,"68,500・71,400円（月額）",68500,71400,2LDK・3LDK,"['2LDK', '3LDK']",1990,"1,200円",[1200],西武池袋線「清瀬」駅からバス約15分「台田団地」下車徒歩2分,
コーシャハイム西馬込,/jkktokyo/detailMap?account=jkktokyo&bid=1180490&pgret=2,大田区西馬込2-33-3,35.5853577,139.7031958,"91,000～185,500円（月額）",91000,185500,1DK～3LDK,"['1DK', '3LDK']",2008,"3,800円",[3800],都営地下鉄浅草線「西馬込」駅下車徒歩4分,
コーシャハイム千歳烏山,/jkktokyo/detailMap?account=jkktokyo&bid=1280840&pgret=2,世田谷区南烏山6-12-1,35.6678045,139.5972062,"96,100～181,500円（月額）",96100,181500,1ＤＫ～3LDK,"['1DK', '3LDK']",2010,"4,900円（1～4、6～8号棟）・5,200円（５号棟）","[4900, 5200]",京王線「千歳烏山」駅下車徒歩4分,
コーシャハイム千歳烏山（１１号棟）,/jkktokyo/detailMap?account=jkktokyo&bid=1280841&pgret=2,世田谷区南烏山6-12-11,35.6676983,139.5975646,"71,100～167,700円（月額）",71100,167700,１Ｒ～２ＬＤＫ,"['1R', '2LDK']",1957,"7,300円",[7300],京王線「千歳烏山」駅下車徒歩５分,旧烏山住宅の１棟を残存させて行う「住棟改善モデル事業」を実施した建物です。
コーシャハイム千歳船橋フロント,/jkktokyo/detailMap?account=jkktokyo&bid=1280910&pgret=2,世田谷区経堂4-17-7、7-15,35.6475263,139.625525,"101,700～181,900円（月額）",101700,181900,1K～2LDK,"['1K', '2LDK']",2017,"5,800円",[5800],小田急小田原線｢千歳船橋｣駅下車徒歩3分,
コーシャハイム千石,/jkktokyo/detailMap?account=jkktokyo&bid=580160&pgret=2,"文京区千石3-16-1,2",35.7253892,139.7380194,"104,200～198,300円（月額）",104200,198300,1DK～3LDK,"['1DK', '3LDK']",2009,"4,200円",[4200],都営地下鉄三田線「千石」駅下車徒歩10分,
コーシャハイム千早,/jkktokyo/detailMap?account=jkktokyo&bid=1680120&pgret=2,豊島区千早2-4-1,35.7311612,139.6924536,"101,600～145,400円（月額）",101600,145400,1LDK～3DK,"['1LDK', '3DK']",2005,"5,700円",[5700],西武池袋線「椎名町」駅下車徒歩9分,
